parameter,address,access
Operator.MAIN.SP,484,3
Operator.MAIN.wSP,487,3
Operator.MAIN.m-A,273,0
Operator.MAIN.AmPS,80,3
Operator.MAIN.Cid,629,2
Operator.RUN.run,509,2
Operator.RUN.Prg,22,1
Operator.RUN.StAt,23,3
Operator.RUN.PSP,163,3
Operator.RUN.CYC,59,3
Operator.RUN.SEG,56,3
Operator.RUN.StyP,29,3
Operator.RUN.SEGt,36,3
Operator.RUN.tgt,160,3
Operator.RUN.rAtE,161,3
Operator.RUN.PrGt,58,3
Operator.RUN.FASt,57,3
Operator.RUN.out1,464,3
Operator.RUN.out2,465,3
Operator.RUN.out3,466,3
Operator.RUN.out4,467,3
Operator.RUN.out5,468,3
Operator.RUN.out6,469,3
Operator.RUN.out7,470,3
Operator.RUN.out8,471,3
Operator.RUN.SYnc,488,3
Operator.RUN.SEGd,284,3
Programmer.prog,501,2
Operator.AL.AL,506,2
Operator.AL.1*AL,13,1
Operator.AL.2*AL,14,0
Operator.AL.3*AL,81,3
Operator.AL.4*AL,82,3
Operator.AL.HY_1,47,0
Operator.AL.HY_2,68,0
Operator.AL.HY_3,69,3
Operator.AL.HY_4,71,0
Operator.AL.Lb_t,83,0
Operator.AL.diAg,282,0
Operator.ATUN.Atun,504,2
Operator.ATUN.tunE,270,1
Operator.ATUN.drA,271,0
Operator.ATUN.drAt,100,3
Operator.ATUN.Adc,272,0
Operator.PID.Pid,508,2
Operator.PID.GSP,153,3
Operator.PID.SET,72,0
Operator.PID.PB,6,3
Operator.PID.Ti,8,3
Operator.PID.Td,9,3
Operator.PID.rES,28,0
Operator.PID.Hcb,18,0
Operator.PID.Lcb,17,0
Operator.PID.rELC,19,3
Operator.PID.Pb2,48,3
Operator.PID.Ti2,49,3
Operator.PID.Td2,51,3
Operator.PID.rES2,50,0
Operator.PID.Hcb2,118,0
Operator.PID.Lcb2,117,0
Operator.PID.rEL2,52,3
Operator.PID.FFPb,97,0
Operator.PID.FFtr,98,0
Operator.PID.FFdv,99,0
Operator.MTR.mtr,500,2
Operator.MTR.tm,21,3
Operator.MTR.Int,123,3
Operator.MTR.bAct,124,3
Operator.MTR.mPt,54,3
Operator.MTR.Vbr,128,3
Operator.MTR.SbOP,62,3
Operator.SP.sp,507,0
Operator.SP.SSEL,15,0
Operator.SP.L-r,276,3
Operator.SP.SP_1,24,0
Operator.SP.SP_2,25,0
Operator.SP.SP_3,164,3
Operator.SP.SP_4,165,3
Operator.SP.SP_5,166,3
Operator.SP.SP_6,167,3
Operator.SP.SP_7,168,3
Operator.SP.SP_8,169,3
Operator.SP.SP_9,170,3
Operator.SP.SP10,171,3
Operator.SP.SP11,172,3
Operator.SP.SP12,173,3
Operator.SP.SP13,174,3
Operator.SP.SP14,175,3
Operator.SP.SP15,176,3
Operator.SP.SP16,177,3
Operator.SP.rmSP,485,3
Operator.SP.rmtt,486,3
Operator.SP.rAt,61,3
Operator.SP.Loct,27,0
Operator.SP.SP_L,112,0
Operator.SP.SP_H,111,0
Operator.SP.SP2L,114,0
Operator.SP.SP2H,113,0
Operator.SP.LocL,67,3
Operator.SP.LocH,66,3
Operator.SP.SPrr,35,0
Operator.SP.Hbty,70,0
Operator.SP.Hb,65,0
Operator.IP.iP,510,0
Operator.IP.FiLt,101,3
Operator.IP.FLt2,103,3
Operator.IP.PViP,288,3
Operator.IP.F1,292,3
Operator.IP.F2,293,3
Operator.IP.LoIP,287,3
Operator.IP.HiIP,286,3
Operator.IP.PCAL,310,3
Operator.IP.Pot,311,3
Operator.IP.GO,312,3
Operator.IP.EmiS,38,3
Operator.IP.Ems2,104,3
Operator.IP.CAL,110,3
Operator.IP.CALS,102,3
Operator.IP.Adj1,146,0
Operator.IP.Adj2,148,0
Operator.IP.OfS1,141,3
Operator.IP.OfS2,142,3
Operator.IP.MV1,202,3
Operator.IP.mV2,208,3
Operator.IP.CJC1,215,0
Operator.IP.CJC2,216,3
Operator.IP.Li1,289,3
