parameter,description,type,hex_address,address,resolution,alterability
Loop.Main.PV,Process Variable,float32,0x0001,1,"1dp, or if wired, inherited from wire source",RW
Loop.Main.TargetSP,Setpoint before rate limiting,float32,0x0002,2,Same as Loop.Main.PV,RW
Loop.Output.ManualOP,Output value while in Manual or F_Man,float32,0x0003,3,Same as Loop.Main.WorkingOutput,RW
Loop.Main.WorkingOutput,Working Output (),float32,0x0004,4,1dp,RO
Loop.Main.WorkingSP,Working Setpoint,float32,0x0005,5,Same as Loop.Main.PV,RO
Loop.PID.Ch1PropBand,Proportional Band for channel 1/heat,float32,0x0006,6,Same as Loop.Main.PV,RW
Loop.Config.ControlAction,Direction of control action,uint8,0x0007,7,Not applicable,RW
Loop.PID.IntegralTime,Integral Time (secs),float32,0x0008,8,0dp,RW
Loop.PID.DerivativeTime,Derivative Time (secs),float32,0x0009,9,0dp,RW
Loop.Setpoint.RangeLow,Loop lower operating point,float32,0x000b,11,Same as Loop.Main.PV,RW
Loop.Setpoint.RangeHigh,Loop upper operating point,float32,0x000c,12,Same as Loop.Main.PV,RW
Alarm.1.Threshold,Threshold,float32,0x000d,13,"Same as Alarm.1.Input, or if wired, inherited from wire source",RW
Alarm.2.Threshold,Threshold,float32,0x000e,14,"Same as Alarm.2.Input, or if wired, inherited from wire source",RW
Loop.Setpoint.SPSelect,SP1 or SP2 select,uint8,0x000f,15,Not applicable,RW
Loop.Output.Ch2Deadband,Channel 2 deadband,float32,0x0010,16,Same as Loop.Main.WorkingOutput,RW
Loop.PID.CutbackLow,Cutback Low threshold,float32,0x0011,17,Same as Loop.Main.PV,RW
Loop.PID.CutbackHigh,Cutback High threshold,float32,0x0012,18,Same as Loop.Main.PV,RW
Loop.PID.Ch2PropBand,Proportional Band for channel 2/cool,float32,0x0013,19,Same as Loop.Main.PV,RW
Loop.Output.Ch1TravelTime,Channel 1 valve travel time (secs),float32,0x0015,21,1dp,RW
Programmer.Run.ProgramNumber,Program Number,uint8,0x0016,22,Not applicable,RW
